id,label,plane,tier,language,framework,primary_cwe,variant,acceptable_cwes,owasp_2021,severity,file,start_line,end_line,alt_locations,flow,sanitizer,obfuscation,build_required,source
c-00c6c2b0,vulnerable,vuln,1,java,,CWE-117,unsanitised-log-entry,CWE-117;CWE-93;CWE-116,A09,high,tier1/java/00c6c2b0/Audit.java,9,9,tier1/java/00c6c2b0/Cli.java:4:4,inter-file,none,none,false,generated
c-055b8ddd,vulnerable,vuln,1,csharp,,CWE-798,literal-in-source,CWE-798;CWE-259;CWE-321,A07,high,tier1/csharp/055b8ddd/Work.cs,5,5,tier1/csharp/055b8ddd/Controller.cs:5:5,inter-file,none,none,false,generated
c-05dbd9fa,safe,vuln,1,csharp,,CWE-22,,CWE-22;CWE-23;CWE-36,A01,high,tier1/csharp/05dbd9fa/Report.cs,26,26,,inter-file,custom-effective,container-field,false,hand-authored
c-064e646e,vulnerable,vuln,1,rust,,CWE-22,unvalidated-join,CWE-22;CWE-23;CWE-35;CWE-36,A01,high,tier1/rust/064e646e/reader.rs,8,8,tier1/rust/064e646e/main.rs:3:3,inter-file,none,none,false,generated
c-07c2324c,safe,vuln,1,cpp,,CWE-476,unchecked-allocation,CWE-476;CWE-690,A03,high,tier1/cpp/07c2324c/work.cpp,8,8,tier1/cpp/07c2324c/main.cpp:4:4,inter-file,custom-effective,none,false,generated
c-0969619d,safe,vuln,3,java,,CWE-94,unknown,CWE-94;CWE-95;CWE-96;CWE-78;CWE-470,,high,tier3/fixed-sources/SpringSource__spring-security-oauth_CVE-2018-1260_2.3.2.RELEASE/spring-security-oauth2/src/main/java/org/springframework/security/oauth2/client/DefaultOAuth2RequestAuthenticator.java,29,43,,unknown,custom-effective,unknown,false,cve
c-0ab15e70,vulnerable,vuln,1,ruby,,CWE-798,literal-in-source,CWE-798;CWE-259;CWE-321,A07,high,tier1/ruby/0ab15e70/work.rb,1,1,tier1/ruby/0ab15e70/handler.rb:3:3,inter-file,none,none,false,generated
c-0b14df38,safe,vuln,3,java,,CWE-22,unknown,CWE-22;CWE-23;CWE-35;CWE-36;CWE-73,,high,tier3/fixed-sources/DSpace__DSpace_CVE-2016-10726_4.4/dspace-xmlui/src/main/java/org/dspace/app/xmlui/cocoon/SafeResourceReader.java,41,76,,unknown,custom-effective,unknown,false,cve
c-0c8b20d9,safe,vuln,1,go,,CWE-78,,CWE-78;CWE-77;CWE-88,A03,high,tier1/go/0c8b20d9/work.go,16,16,,inter-file,custom-effective,collection,false,hand-authored
c-0ce1a053,vulnerable,secret,1,python,,CWE-798,chat-token,CWE-798;CWE-259;CWE-321,A07,high,tier1/python/0ce1a053/notify.py,1,1,,intra-procedural,none,none,false,generated
c-0d482a31,vulnerable,vuln,1,swift,,CWE-78,shell-string,CWE-78;CWE-77;CWE-88;CWE-94,A03,high,tier1/swift/0d482a31/Runner.swift,7,7,tier1/swift/0d482a31/main.swift:4:4,inter-file,none,none,false,generated
c-0db527f2,safe,vuln,1,javascript,,CWE-78,,CWE-78;CWE-77;CWE-88,A03,high,tier1/javascript/0db527f2/work.js,3,3,,inter-file,custom-effective,reflection,false,hand-authored
c-0e4a54a2,safe,vuln,1,go,,CWE-918,unvalidated-url,CWE-918,A10,high,tier1/go/0e4a54a2/fetch.go,16,16,tier1/go/0e4a54a2/handler.go:3:3,inter-file,custom-effective,none,false,generated
